State,filter,Cases,Range,"B.1.1.7 Variant ","P.1 Variant ","B.1.351 Variant "
AL,Variant P.1,0,0 to 0,8,,
AK,Variant P.1,0,0 to 0,1,,
AS,Variant P.1,0,0 to 0,,,
AZ,Variant P.1,0,0 to 0,6,,
AR,Variant P.1,0,0 to 0,,,
CA,Variant P.1,0,0 to 0,195,,2
CO,Variant P.1,0,0 to 0,67,,
CT,Variant P.1,0,0 to 0,42,,1
District of Columbia,Variant P.1,0,0 to 0,3,,1
DE,Variant P.1,0,0 to 0,3,,
FL,Variant P.1,1,1 to 100,433,1,
GA,Variant P.1,0,0 to 0,79,,
GU,Variant P.1,0,0 to 0,,,
HI,Variant P.1,0,0 to 0,2,,
ID,Variant P.1,0,0 to 0,,,
IL,Variant P.1,0,0 to 0,43,,1
IN,Variant P.1,0,0 to 0,14,,
IA,Variant P.1,0,0 to 0,8,,
KS,Variant P.1,0,0 to 0,2,,
KY,Variant P.1,0,0 to 0,5,,
LA,Variant P.1,0,0 to 0,15,,
ME,Variant P.1,0,0 to 0,2,,
MH,Variant P.1,0,0 to 0,,,
MD,Variant P.1,1,1 to 100,47,1,8
MA,Variant P.1,0,0 to 0,44,,2
MI,Variant P.1,0,0 to 0,157,,
FM,Variant P.1,0,0 to 0,,,
MN,Variant P.1,2,1 to 100,18,2,
MS,Variant P.1,0,0 to 0,1,,
MO,Variant P.1,0,0 to 0,1,,
MT,Variant P.1,0,0 to 0,,,
NE,Variant P.1,0,0 to 0,,,
NV,Variant P.1,0,0 to 0,6,,
NH,Variant P.1,0,0 to 0,1,,
NJ,Variant P.1,0,0 to 0,50,,
NM,Variant P.1,0,0 to 0,2,,
NY,Variant P.1,0,0 to 0,70,,
NC,Variant P.1,0,0 to 0,37,,1
ND,Variant P.1,0,0 to 0,,,
MP,Variant P.1,0,0 to 0,,,
OH,Variant P.1,0,0 to 0,6,,
OK,Variant P.1,1,1 to 100,,1,
OR,Variant P.1,0,0 to 0,4,,
PW,Variant P.1,0,0 to 0,,,
PA,Variant P.1,0,0 to 0,30,,
PR,Variant P.1,0,0 to 0,,,
RI,Variant P.1,0,0 to 0,3,,
SC,Variant P.1,0,0 to 0,1,,2
SD,Variant P.1,0,0 to 0,,,
TN,Variant P.1,0,0 to 0,5,,
TX,Variant P.1,0,0 to 0,60,,1
UT,Variant P.1,0,0 to 0,12,,
VT,Variant P.1,0,0 to 0,,,
VI,Variant P.1,0,0 to 0,,,
VA,Variant P.1,0,0 to 0,11,,2
WA,Variant P.1,0,0 to 0,19,,
WV,Variant P.1,0,0 to 0,0,,
WI,Variant P.1,0,0 to 0,5,,
WY,Variant P.1,0,0 to 0,5,,
AL,Variant B.1.351,0,0 to 0,8,,
AK,Variant B.1.351,0,0 to 0,1,,
AS,Variant B.1.351,0,0 to 0,,,
AZ,Variant B.1.351,0,0 to 0,6,,
AR,Variant B.1.351,0,0 to 0,,,
CA,Variant B.1.351,2,1 to 100,195,,2
CO,Variant B.1.351,0,0 to 0,67,,
CT,Variant B.1.351,1,1 to 100,42,,1
District of Columbia,Variant B.1.351,1,1 to 100,3,,1
DE,Variant B.1.351,0,0 to 0,3,,
FL,Variant B.1.351,0,0 to 0,433,1,
GA,Variant B.1.351,0,0 to 0,79,,
GU,Variant B.1.351,0,0 to 0,,,
HI,Variant B.1.351,0,0 to 0,2,,
ID,Variant B.1.351,0,0 to 0,,,
IL,Variant B.1.351,1,1 to 100,43,,1
IN,Variant B.1.351,0,0 to 0,14,,
IA,Variant B.1.351,0,0 to 0,8,,
KS,Variant B.1.351,0,0 to 0,2,,
KY,Variant B.1.351,0,0 to 0,5,,
LA,Variant B.1.351,0,0 to 0,15,,
ME,Variant B.1.351,0,0 to 0,2,,
MH,Variant B.1.351,0,0 to 0,,,
MD,Variant B.1.351,8,1 to 100,47,1,8
MA,Variant B.1.351,2,1 to 100,44,,2
MI,Variant B.1.351,0,0 to 0,157,,
FM,Variant B.1.351,0,0 to 0,,,
MN,Variant B.1.351,0,0 to 0,18,2,
MS,Variant B.1.351,0,0 to 0,1,,
MO,Variant B.1.351,0,0 to 0,1,,
MT,Variant B.1.351,0,0 to 0,,,
NE,Variant B.1.351,0,0 to 0,,,
NV,Variant B.1.351,0,0 to 0,6,,
NH,Variant B.1.351,0,0 to 0,1,,
NJ,Variant B.1.351,0,0 to 0,50,,
NM,Variant B.1.351,0,0 to 0,2,,
NY,Variant B.1.351,0,0 to 0,70,,
NC,Variant B.1.351,1,1 to 100,37,,1
ND,Variant B.1.351,0,0 to 0,,,
MP,Variant B.1.351,0,0 to 0,,,
OH,Variant B.1.351,0,0 to 0,6,,
OK,Variant B.1.351,0,0 to 0,,1,
OR,Variant B.1.351,0,0 to 0,4,,
PW,Variant B.1.351,0,0 to 0,,,
PA,Variant B.1.351,0,0 to 0,30,,
PR,Variant B.1.351,0,0 to 0,,,
RI,Variant B.1.351,0,0 to 0,3,,
SC,Variant B.1.351,2,1 to 100,1,,2
SD,Variant B.1.351,0,0 to 0,,,
TN,Variant B.1.351,0,0 to 0,5,,
TX,Variant B.1.351,1,1 to 100,60,,1
UT,Variant B.1.351,0,0 to 0,12,,
VT,Variant B.1.351,0,0 to 0,,,
VI,Variant B.1.351,0,0 to 0,,,
VA,Variant B.1.351,2,1 to 100,11,,2
WA,Variant B.1.351,0,0 to 0,19,,
WV,Variant B.1.351,0,0 to 0,,,
WI,Variant B.1.351,0,0 to 0,5,,
WY,Variant B.1.351,0,0 to 0,5,,
,,,1 to 100,,,
,,,101 to 200,,,
,,,201 to 300,,,
,,,301 to 400,,,
,,,401 to 500,,,
,,,501 to 600,,,
,,,601 to 700,,,
,,,801 to 900,,,
,,,901 to 1000,,,
,,,,,,
